host,neighboraddress,timestamp,vrf,lastchange,peer_as,sessionstate,prefixesreceived,prefixaccepted,prefixsent,peergroups,neighborinfo,DeviceType
d14x98anrb2.network.microsoft.com,2ff1:110:3040:1::46,11:55.0,default,45:21.8,,ESTABLISHED,0,0,0,corp-ms-v6,d14x98an2m1,BL
d14x98anrb2.network.microsoft.com,2ff1:110:3040:1::26,11:55.0,default,24:45.8,,ESTABLISHED,113,113,52,corp-ts-v6,d14x98anru1,BL
d14x98anrb2.network.microsoft.com,2ff1:f801:3000:2::5,11:55.0,default,45:20.9,,ESTABLISHED,0,0,0,corp-wan-v6,d14x98ca950,BL
d14x98anrb2.network.microsoft.com,172.199.160.35,11:55.0,default,45:19.4,,ESTABLISHED,0,0,52,corp-ms-v4,d14x98an2m1,BL
d14x98anrb2.network.microsoft.com,2ff1:110:3040:1::36,11:55.0,default,08:14.5,,ESTABLISHED,115,115,108,corp-ts-v6,d14x98anru2,BL
d14x98anrb2.network.microsoft.com,199.33.62.25,11:55.0,default,01:31.6,,CONNECT,0,0,0,evpz-client,d14x98anrun,BL
d14x98anrb2.network.microsoft.com,199.33.62.27,11:55.0,default,08:10.5,,ESTABLISHED,2,2,,evpz-client,d14x98anrup,BL
d14x98anrb2.network.microsoft.com,199.36.199.0,11:55.0,default,42:37.0,,IDLE,0,0,0,evpz-cp1,,BL
d14x98anrb2.network.microsoft.com,199.36.199.1,11:55.0,default,42:36.5,,IDLE,0,0,0,evpz-cp1,,BL
d14x98anrb2.network.microsoft.com,199.33.62.7,11:55.0,default,52:00.6,,ESTABLISHED,0,0,,evpz-client,d14x98anrz2,BL
d14x98anrb2.network.microsoft.com,199.33.62.16,11:55.0,default,06:41.1,,ESTABLISHED,958,958,,evpz-client,d14x98anrue,BL
d14x98anrb2.network.microsoft.com,199.37.69.206,11:55.0,default,45:19.7,,ESTABLISHED,0,0,0,corp-wan-v4,d14x98ca951,BL
d14x98anrb2.network.microsoft.com,199.33.62.64,11:55.0,default,17:05.1,,ESTABLISHED,170,170,,evpz-client,d14x98anruv,BL
d14x98anrb2.network.microsoft.com,172.199.160.43,11:55.0,default,45:18.8,,ESTABLISHED,0,2,52,corp-ms-v4,d14x98an2m2,BL
d14x98anrb2.network.microsoft.com,199.33.62.17,11:55.0,default,26:37.4,,ESTABLISHED,958,958,,evpz-client,d14x98anruf,BL
d14x98anrb2.network.microsoft.com,199.33.62.26,11:55.0,default,48:24.9,,ESTABLISHED,2,0,,evpz-client,d14x98anruo,BL
d14x98anrb2.network.microsoft.com,199.33.62.124,11:55.0,default,20:58.4,,ESTABLISHED,103,103,,evpz-client,d14x98an5ua,BL
d14x98anrb2.network.microsoft.com,199.32.65.1,11:55.0,default,42:36.7,,IDLE,0,0,0,evpz-sg2,,BL
d14x98anrb2.network.microsoft.com,199.33.62.30,11:55.0,default,15:59.6,,ESTABLISHED,0,6,,evpz-client,d14x98anrus,BL
d14x98anrb2.network.microsoft.com,2ff1:110:3040:1::56,11:55.0,default,45:21.0,,ESTABLISHED,1,0,0,corp-ms-v6,d14x98an2m2,BL
